t,pair,gap_min,pile_gap_min,gap_1_2,gap_1_3,gap_2_3
50.644,1-2,0.5914,-1.0000,0.5914,0.5924,1.1521
50.952,1-2,0.5914,-1.0000,0.5914,0.5924,1.1521
51.000,1-2,0.5899,-1.0000,0.5899,0.5936,1.1524
51.244,1-2,0.5865,-1.0000,0.5865,0.5972,1.1530
51.250,1-2,0.5866,-1.0000,0.5866,0.5971,1.1530
51.300,1-2,0.5869,-1.0000,0.5869,0.5968,1.1530
51.350,1-2,0.5874,-1.0000,0.5874,0.5964,1.1530
51.400,1-2,0.5879,-1.0000,0.5879,0.5960,1.1529
51.450,1-2,0.5884,-1.0000,0.5884,0.5957,1.1528
51.500,1-2,0.5888,-1.0000,0.5888,0.5955,1.1527
51.550,1-2,0.5892,-1.0000,0.5892,0.5953,1.1525
51.600,1-2,0.5896,-1.0000,0.5896,0.5953,1.1523
51.650,1-2,0.5898,-1.0000,0.5898,0.5955,1.1521
51.700,1-2,0.5900,-1.0000,0.5900,0.5957,1.1519
51.750,1-2,0.5902,-1.0000,0.5902,0.5959,1.1518
51.800,1-2,0.5903,-1.0000,0.5903,0.5961,1.1519
51.850,1-2,0.5904,-1.0000,0.5904,0.5961,1.1526
51.900,1-2,0.5904,-1.0000,0.5904,0.5957,1.1542
51.950,1-2,0.5904,-1.0000,0.5904,0.5950,1.1560
52.000,1-2,0.5904,-1.0000,0.5904,0.5937,1.1559
52.050,1-2,0.5902,-1.0000,0.5902,0.5922,1.1532
52.100,1-2,0.5901,-1.0000,0.5901,0.5904,1.1500
52.150,1-3,0.5887,-1.0000,0.5899,0.5887,1.1472
52.200,1-3,0.5875,-1.0000,0.5895,0.5875,1.1445
52.250,1-3,0.5870,-1.0000,0.5892,0.5870,1.1429
52.300,1-3,0.5864,-1.0000,0.5888,0.5864,1.1418
52.350,1-3,0.5857,-1.0000,0.5886,0.5857,1.1407
52.400,1-3,0.5846,-1.0000,0.5884,0.5846,1.1396
52.450,1-3,0.5831,-1.0000,0.5886,0.5831,1.1387
52.500,1-3,0.5807,-1.0000,0.5893,0.5807,1.1378
52.550,1-3,0.5787,-1.0000,0.5902,0.5787,1.1373
52.600,1-3,0.5764,-1.0000,0.5915,0.5764,1.1369
52.650,1-3,0.5747,-1.0000,0.5929,0.5747,1.1374
52.700,1-3,0.5745,-1.0000,0.5941,0.5745,1.1392
52.750,1-3,0.5757,-1.0000,0.5950,0.5757,1.1418
52.800,1-3,0.5783,-1.0000,0.5953,0.5783,1.1445
52.850,1-3,0.5811,-1.0000,0.5961,0.5811,1.1476
52.900,1-3,0.5818,-1.0000,0.5964,0.5818,1.1476
52.950,1-3,0.5819,-1.0000,0.5957,0.5819,1.1459
53.000,1-3,0.5813,-1.0000,0.5954,0.5813,1.1449
53.050,1-3,0.5804,-1.0000,0.5953,0.5804,1.1443
53.100,1-3,0.5790,-1.0000,0.5954,0.5790,1.1444
53.150,1-3,0.5771,-1.0000,0.5956,0.5771,1.1451
53.200,1-3,0.5757,-1.0000,0.5959,0.5757,1.1459
53.250,1-3,0.5741,-1.0000,0.5964,0.5741,1.1467
53.300,1-3,0.5719,-1.0000,0.5971,0.5719,1.1473
53.350,1-3,0.5698,-1.0000,0.5979,0.5698,1.1475
53.400,1-3,0.5684,-1.0000,0.5990,0.5684,1.1468
53.450,1-3,0.5675,-1.0000,0.6002,0.5675,1.1457
53.500,1-3,0.5669,-1.0000,0.6016,0.5669,1.1440
53.550,1-3,0.5670,-1.0000,0.6032,0.5670,1.1421
53.600,1-3,0.5668,-1.0000,0.6051,0.5668,1.1400
53.650,1-3,0.5658,-1.0000,0.6069,0.5658,1.1384
53.700,1-3,0.5646,-1.0000,0.6083,0.5646,1.1376
53.750,1-3,0.5641,-1.0000,0.6087,0.5641,1.1381
53.800,1-3,0.5640,-1.0000,0.6091,0.5640,1.1385
53.850,1-3,0.5643,-1.0000,0.6083,0.5643,1.1402
53.900,1-3,0.5649,-1.0000,0.6079,0.5649,1.1408
53.950,1-3,0.5660,-1.0000,0.6078,0.5660,1.1410
54.000,1-3,0.5670,-1.0000,0.6083,0.5670,1.1406
54.050,1-3,0.5665,-1.0000,0.6091,0.5665,1.1400
54.100,1-3,0.5655,-1.0000,0.6099,0.5655,1.1391
54.150,1-3,0.5651,-1.0000,0.6106,0.5651,1.1384
54.200,1-3,0.5651,-1.0000,0.6114,0.5651,1.1372
54.250,1-3,0.5653,-1.0000,0.6120,0.5653,1.1354
54.300,1-3,0.5660,-1.0000,0.6122,0.5660,1.1342
54.350,1-3,0.5667,-1.0000,0.6124,0.5667,1.1335
54.400,1-3,0.5660,-1.0000,0.6130,0.5660,1.1332
54.450,1-3,0.5649,-1.0000,0.6136,0.5649,1.1332
54.500,1-3,0.5645,-1.0000,0.6140,0.5645,1.1336
54.550,1-3,0.5644,-1.0000,0.6146,0.5644,1.1335
54.600,1-3,0.5647,-1.0000,0.6150,0.5647,1.1327
54.650,1-3,0.5654,-1.0000,0.6148,0.5654,1.1322
54.700,1-3,0.5667,-1.0000,0.6142,0.5667,1.1322
54.750,1-3,0.5674,-1.0000,0.6140,0.5674,1.1324
54.800,1-3,0.5666,-1.0000,0.6143,0.5666,1.1327
54.850,1-3,0.5652,-1.0000,0.6145,0.5652,1.1332
54.900,1-3,0.5645,-1.0000,0.6148,0.5645,1.1340
54.950,1-3,0.5641,-1.0000,0.6152,0.5641,1.1343
55.000,1-3,0.5641,-1.0000,0.6154,0.5641,1.1337
55.050,1-3,0.5645,-1.0000,0.6151,0.5645,1.1334
55.100,1-3,0.5654,-1.0000,0.6146,0.5654,1.1336
55.150,1-3,0.5654,-1.0000,0.6147,0.5654,1.1339
55.200,1-3,0.5644,-1.0000,0.6150,0.5644,1.1344
55.250,1-3,0.5638,-1.0000,0.6152,0.5638,1.1351
55.300,1-3,0.5637,-1.0000,0.6155,0.5637,1.1355
55.350,1-3,0.5640,-1.0000,0.6157,0.5640,1.1349
55.400,1-3,0.5645,-1.0000,0.6155,0.5645,1.1343
55.450,1-3,0.5656,-1.0000,0.6150,0.5656,1.1343
55.500,1-3,0.5663,-1.0000,0.6149,0.5663,1.1344
55.550,1-3,0.5657,-1.0000,0.6152,0.5657,1.1345
55.600,1-3,0.5646,-1.0000,0.6155,0.5646,1.1348
55.650,1-3,0.5643,-1.0000,0.6158,0.5643,1.1355
55.700,1-3,0.5642,-1.0000,0.6162,0.5642,1.1353
55.750,1-3,0.5645,-1.0000,0.6165,0.5645,1.1345
55.800,1-3,0.5652,-1.0000,0.6160,0.5652,1.1342
55.850,1-3,0.5659,-1.0000,0.6157,0.5659,1.1343
55.900,1-3,0.5653,-1.0000,0.6159,0.5653,1.1345
55.950,1-3,0.5643,-1.0000,0.6162,0.5643,1.1350
56.000,1-3,0.5640,-1.0000,0.6164,0.5640,1.1355
56.050,1-3,0.5640,-1.0000,0.6168,0.5640,1.1350
56.100,1-3,0.5643,-1.0000,0.6168,0.5643,1.1342
56.150,1-3,0.5649,-1.0000,0.6162,0.5649,1.1340
56.200,1-3,0.5656,-1.0000,0.6160,0.5656,1.1341
56.250,1-3,0.5650,-1.0000,0.6162,0.5650,1.1343
56.300,1-3,0.5642,-1.0000,0.6165,0.5642,1.1346
56.350,1-3,0.5641,-1.0000,0.6168,0.5641,1.1352
56.400,1-3,0.5643,-1.0000,0.6172,0.5643,1.1349
56.450,1-3,0.5649,-1.0000,0.6173,0.5649,1.1339
56.500,1-3,0.5659,-1.0000,0.6168,0.5659,1.1337
56.550,1-3,0.5664,-1.0000,0.6166,0.5664,1.1337
56.600,1-3,0.5658,-1.0000,0.6168,0.5658,1.1338
56.650,1-3,0.5651,-1.0000,0.6171,0.5651,1.1341
56.700,1-3,0.5650,-1.0000,0.6174,0.5650,1.1346
56.750,1-3,0.5654,-1.0000,0.6179,0.5654,1.1346
56.800,1-3,0.5662,-1.0000,0.6184,0.5662,1.1339
