t,pair,gap_min,pile_gap_min,gap_1_2,gap_1_3,gap_2_3
51.000,1-2,0.5986,-1.0000,0.5986,0.5989,1.1423
51.050,1-3,0.5989,-1.0000,0.5998,0.5989,1.1407
51.100,1-3,0.5989,-1.0000,0.6011,0.5989,1.1393
51.150,1-3,0.5990,-1.0000,0.6022,0.5990,1.1386
51.200,1-3,0.5990,-1.0000,0.6029,0.5990,1.1391
51.250,1-3,0.5990,-1.0000,0.6029,0.5990,1.1411
51.300,1-3,0.5991,-1.0000,0.6029,0.5991,1.1422
51.350,1-3,0.5991,-1.0000,0.6024,0.5991,1.1434
51.400,1-3,0.5992,-1.0000,0.6016,0.5992,1.1446
51.450,1-3,0.5993,-1.0000,0.6009,0.5993,1.1455
51.500,1-3,0.5993,-1.0000,0.6002,0.5993,1.1464
51.550,1-3,0.5994,-1.0000,0.5998,0.5994,1.1470
51.600,1-3,0.5995,-1.0000,0.5997,0.5995,1.1474
51.650,1-3,0.5996,-1.0000,0.5999,0.5996,1.1479
51.700,1-3,0.5997,-1.0000,0.6001,0.5997,1.1484
51.750,1-3,0.5998,-1.0000,0.6004,0.5998,1.1488
51.800,1-3,0.5999,-1.0000,0.6008,0.5999,1.1488
51.850,1-3,0.6000,-1.0000,0.6013,0.6000,1.1483
51.900,1-3,0.6001,-1.0000,0.6018,0.6001,1.1478
51.950,1-3,0.6002,-1.0000,0.6021,0.6002,1.1474
52.000,1-3,0.6003,-1.0000,0.6022,0.6003,1.1470
52.050,1-3,0.6006,-1.0000,0.6022,0.6006,1.1467
52.100,1-3,0.6008,-1.0000,0.6020,0.6008,1.1464
52.150,1-3,0.6011,-1.0000,0.6018,0.6011,1.1462
52.200,1-3,0.6015,-1.0000,0.6015,0.6015,1.1459
52.250,1-2,0.6012,-1.0000,0.6012,0.6018,1.1457
52.300,1-2,0.6009,-1.0000,0.6009,0.6021,1.1458
52.350,1-2,0.6005,-1.0000,0.6005,0.6022,1.1463
52.400,1-2,0.6001,-1.0000,0.6001,0.6019,1.1477
52.450,1-2,0.5998,-1.0000,0.5998,0.6012,1.1496
52.500,1-2,0.5994,-1.0000,0.5994,0.6000,1.1515
52.550,1-3,0.5987,-1.0000,0.5991,0.5987,1.1534
52.600,1-3,0.5970,-1.0000,0.5988,0.5970,1.1525
52.650,1-3,0.5955,-1.0000,0.5985,0.5955,1.1496
52.700,1-3,0.5946,-1.0000,0.5983,0.5946,1.1473
52.750,1-3,0.5942,-1.0000,0.5980,0.5942,1.1462
52.800,1-3,0.5937,-1.0000,0.5977,0.5937,1.1453
52.850,1-3,0.5932,-1.0000,0.5974,0.5932,1.1445
52.900,1-3,0.5924,-1.0000,0.5971,0.5924,1.1438
52.950,1-3,0.5916,-1.0000,0.5968,0.5916,1.1434
53.000,1-3,0.5904,-1.0000,0.5965,0.5904,1.1434
53.050,1-3,0.5890,-1.0000,0.5964,0.5890,1.1441
53.100,1-3,0.5868,-1.0000,0.5967,0.5868,1.1444
53.150,1-3,0.5855,-1.0000,0.5974,0.5855,1.1457
53.200,1-3,0.5850,-1.0000,0.5983,0.5850,1.1474
53.250,1-3,0.5844,-1.0000,0.5996,0.5844,1.1476
53.300,1-3,0.5838,-1.0000,0.6009,0.5838,1.1464
53.350,1-3,0.5833,-1.0000,0.6022,0.5833,1.1454
53.400,1-3,0.5829,-1.0000,0.6035,0.5829,1.1453
53.450,1-3,0.5832,-1.0000,0.6045,0.5832,1.1460
53.500,1-3,0.5829,-1.0000,0.6056,0.5829,1.1463
53.550,1-3,0.5818,-1.0000,0.6064,0.5818,1.1464
53.600,1-3,0.5810,-1.0000,0.6066,0.5810,1.1466
53.650,1-3,0.5802,-1.0000,0.6068,0.5802,1.1467
53.700,1-3,0.5794,-1.0000,0.6068,0.5794,1.1467
53.750,1-3,0.5787,-1.0000,0.6067,0.5787,1.1465
53.800,1-3,0.5785,-1.0000,0.6061,0.5785,1.1460
53.850,1-3,0.5790,-1.0000,0.6053,0.5790,1.1446
53.900,1-3,0.5810,-1.0000,0.6046,0.5810,1.1432
53.950,1-3,0.5811,-1.0000,0.6044,0.5811,1.1423
54.000,1-3,0.5807,-1.0000,0.6033,0.5807,1.1418
54.050,1-3,0.5799,-1.0000,0.6027,0.5799,1.1416
54.100,1-3,0.5795,-1.0000,0.6024,0.5795,1.1416
54.150,1-3,0.5790,-1.0000,0.6020,0.5790,1.1417
54.200,1-3,0.5783,-1.0000,0.6023,0.5783,1.1420
54.250,1-3,0.5767,-1.0000,0.6030,0.5767,1.1424
54.300,1-3,0.5753,-1.0000,0.6036,0.5753,1.1427
54.350,1-3,0.5743,-1.0000,0.6041,0.5743,1.1431
54.400,1-3,0.5738,-1.0000,0.6046,0.5738,1.1435
54.450,1-3,0.5737,-1.0000,0.6051,0.5737,1.1438
54.500,1-3,0.5740,-1.0000,0.6056,0.5740,1.1441
54.550,1-3,0.5749,-1.0000,0.6059,0.5749,1.1443
54.600,1-3,0.5758,-1.0000,0.6064,0.5758,1.1445
54.650,1-3,0.5753,-1.0000,0.6069,0.5753,1.1446
54.700,1-3,0.5739,-1.0000,0.6072,0.5739,1.1448
54.750,1-3,0.5733,-1.0000,0.6073,0.5733,1.1449
54.800,1-3,0.5732,-1.0000,0.6073,0.5732,1.1450
54.850,1-3,0.5734,-1.0000,0.6073,0.5734,1.1451
54.900,1-3,0.5740,-1.0000,0.6071,0.5740,1.1452
54.950,1-3,0.5748,-1.0000,0.6071,0.5748,1.1452
55.000,1-3,0.5744,-1.0000,0.6072,0.5744,1.1452
55.050,1-3,0.5733,-1.0000,0.6072,0.5733,1.1453
55.100,1-3,0.5729,-1.0000,0.6070,0.5729,1.1453
55.150,1-3,0.5729,-1.0000,0.6068,0.5729,1.1453
55.200,1-3,0.5731,-1.0000,0.6067,0.5731,1.1453
55.250,1-3,0.5738,-1.0000,0.6065,0.5738,1.1453
55.300,1-3,0.5749,-1.0000,0.6063,0.5749,1.1452
55.350,1-3,0.5757,-1.0000,0.6064,0.5757,1.1452
55.400,1-3,0.5751,-1.0000,0.6066,0.5751,1.1452
55.450,1-3,0.5737,-1.0000,0.6067,0.5737,1.1452
55.500,1-3,0.5732,-1.0000,0.6066,0.5732,1.1452
55.552,1-3,0.5730,-1.0000,0.6065,0.5730,1.1452
55.600,1-3,0.5732,-1.0000,0.6064,0.5732,1.1452
55.650,1-3,0.5739,-1.0000,0.6063,0.5739,1.1452
55.700,1-3,0.5750,-1.0000,0.6062,0.5750,1.1452
55.750,1-3,0.5758,-1.0000,0.6063,0.5758,1.1453
55.800,1-3,0.5751,-1.0000,0.6065,0.5751,1.1454
55.850,1-3,0.5740,-1.0000,0.6066,0.5740,1.1454
55.900,1-3,0.5736,-1.0000,0.6065,0.5736,1.1455
55.950,1-3,0.5736,-1.0000,0.6065,0.5736,1.1455
56.000,1-3,0.5739,-1.0000,0.6065,0.5739,1.1455
56.050,1-3,0.5748,-1.0000,0.6065,0.5748,1.1455
56.100,1-3,0.5761,-1.0000,0.6065,0.5761,1.1455
56.150,1-3,0.5769,-1.0000,0.6068,0.5769,1.1454
56.200,1-3,0.5762,-1.0000,0.6072,0.5762,1.1454
56.250,1-3,0.5754,-1.0000,0.6074,0.5754,1.1454
56.300,1-3,0.5754,-1.0000,0.6074,0.5754,1.1454
56.350,1-3,0.5759,-1.0000,0.6075,0.5759,1.1454
56.400,1-3,0.5768,-1.0000,0.6076,0.5768,1.1454
56.450,1-3,0.5785,-1.0000,0.6076,0.5785,1.1454
56.500,1-3,0.5809,-1.0000,0.6074,0.5809,1.1454
56.550,1-3,0.5845,-1.0000,0.6068,0.5845,1.1455
56.600,1-3,0.5877,-1.0000,0.6067,0.5877,1.1455
56.650,1-3,0.5904,-1.0000,0.6067,0.5904,1.1456
56.700,1-3,0.5933,-1.0000,0.6065,0.5933,1.1457
56.750,1-3,0.5958,-1.0000,0.6063,0.5958,1.1457
56.800,1-3,0.5979,-1.0000,0.6064,0.5979,1.1458
56.850,1-3,0.5999,-1.0000,0.6071,0.5999,1.1458
56.900,1-3,0.6014,-1.0000,0.6083,0.6014,1.1458
56.950,1-3,0.6035,-1.0000,0.6093,0.6035,1.1458
57.000,1-3,0.6053,-1.0000,0.6099,0.6053,1.1457
57.050,1-3,0.6070,-1.0000,0.6108,0.6070,1.1457
57.100,1-3,0.6085,-1.0000,0.6119,0.6085,1.1457
57.150,1-3,0.6100,-1.0000,0.6131,0.6100,1.1457
57.200,1-3,0.6119,-1.0000,0.6146,0.6119,1.1458
57.250,1-3,0.6141,-1.0000,0.6161,0.6141,1.1458
57.300,1-3,0.6159,-1.0000,0.6178,0.6159,1.1458
57.350,1-3,0.6171,-1.0000,0.6194,0.6171,1.1458
57.400,1-3,0.6180,-1.0000,0.6206,0.6180,1.1459
57.450,1-3,0.6188,-1.0000,0.6217,0.6188,1.1459
57.500,1-3,0.6194,-1.0000,0.6226,0.6194,1.1459
57.550,1-3,0.6199,-1.0000,0.6234,0.6199,1.1459
57.600,1-3,0.6204,-1.0000,0.6240,0.6204,1.1459
57.650,1-3,0.6208,-1.0000,0.6245,0.6208,1.1459
57.700,1-3,0.6211,-1.0000,0.6250,0.6211,1.1459
57.750,1-3,0.6215,-1.0000,0.6254,0.6215,1.1459
57.800,1-3,0.6217,-1.0000,0.6257,0.6217,1.1459
57.850,1-3,0.6220,-1.0000,0.6260,0.6220,1.1459
57.900,1-3,0.6222,-1.0000,0.6263,0.6222,1.1459
57.950,1-3,0.6224,-1.0000,0.6266,0.6224,1.1459
58.000,1-3,0.6225,-1.0000,0.6268,0.6225,1.1459
58.050,1-3,0.6225,-1.0000,0.6270,0.6225,1.1460
58.100,1-3,0.6226,-1.0000,0.6272,0.6226,1.1460
58.150,1-3,0.6225,-1.0000,0.6273,0.6225,1.1460
58.200,1-3,0.6225,-1.0000,0.6275,0.6225,1.1460
