t,pair,gap_min,pile_gap_min,gap_1_2,gap_1_3,gap_2_3
53.950,1-3,0.5891,-1.0000,0.5930,0.5891,1.1441
54.000,1-3,0.5891,-1.0000,0.5930,0.5891,1.1442
54.050,1-3,0.5891,-1.0000,0.5929,0.5891,1.1442
54.100,1-3,0.5891,-1.0000,0.5929,0.5891,1.1442
54.150,1-3,0.5891,-1.0000,0.5929,0.5891,1.1441
54.200,1-3,0.5890,-1.0000,0.5929,0.5890,1.1441
54.250,1-3,0.5890,-1.0000,0.5929,0.5890,1.1441
54.300,1-3,0.5890,-1.0000,0.5928,0.5890,1.1440
54.350,1-3,0.5889,-1.0000,0.5928,0.5889,1.1440
54.400,1-3,0.5886,-1.0000,0.5926,0.5886,1.1440
54.488,1-3,0.5886,-1.0000,0.5926,0.5886,1.1440
54.514,1-3,0.5889,-1.0000,0.5926,0.5889,1.1435
54.550,1-3,0.5889,-1.0000,0.5926,0.5889,1.1435
54.606,1-3,0.5889,-1.0000,0.5926,0.5889,1.1435
54.654,1-3,0.5889,-1.0000,0.5926,0.5889,1.1435
54.704,1-3,0.5889,-1.0000,0.5926,0.5889,1.1435
54.750,1-3,0.5885,-1.0000,0.5928,0.5885,1.1439
54.800,1-3,0.5877,-1.0000,0.5930,0.5877,1.1445
54.850,1-3,0.5871,-1.0000,0.5931,0.5871,1.1449
54.900,1-3,0.5867,-1.0000,0.5932,0.5867,1.1450
54.950,1-3,0.5865,-1.0000,0.5931,0.5865,1.1450
55.000,1-3,0.5864,-1.0000,0.5930,0.5864,1.1450
55.050,1-3,0.5865,-1.0000,0.5929,0.5865,1.1448
55.100,1-3,0.5866,-1.0000,0.5927,0.5866,1.1447
55.150,1-3,0.5868,-1.0000,0.5926,0.5868,1.1446
55.200,1-3,0.5870,-1.0000,0.5924,0.5870,1.1445
55.250,1-3,0.5873,-1.0000,0.5921,0.5873,1.1444
55.300,1-3,0.5875,-1.0000,0.5919,0.5875,1.1443
55.350,1-3,0.5878,-1.0000,0.5915,0.5878,1.1442
55.400,1-3,0.5879,-1.0000,0.5912,0.5879,1.1442
55.450,1-3,0.5880,-1.0000,0.5909,0.5880,1.1441
55.500,1-3,0.5878,-1.0000,0.5907,0.5878,1.1441
55.550,1-3,0.5870,-1.0000,0.5908,0.5870,1.1441
55.600,1-3,0.5860,-1.0000,0.5913,0.5860,1.1441
55.650,1-3,0.5850,-1.0000,0.5921,0.5850,1.1441
55.700,1-3,0.5839,-1.0000,0.5931,0.5839,1.1441
55.750,1-3,0.5828,-1.0000,0.5943,0.5828,1.1441
55.800,1-3,0.5820,-1.0000,0.5954,0.5820,1.1441
55.850,1-3,0.5817,-1.0000,0.5965,0.5817,1.1441
55.900,1-3,0.5811,-1.0000,0.5976,0.5811,1.1441
55.950,1-3,0.5798,-1.0000,0.5986,0.5798,1.1441
56.000,1-3,0.5790,-1.0000,0.5989,0.5790,1.1441
56.050,1-3,0.5788,-1.0000,0.5992,0.5788,1.1441
56.100,1-3,0.5791,-1.0000,0.5994,0.5791,1.1441
56.150,1-3,0.5798,-1.0000,0.5995,0.5798,1.1441
56.200,1-3,0.5814,-1.0000,0.5993,0.5814,1.1441
56.250,1-3,0.5839,-1.0000,0.5989,0.5839,1.1440
56.300,1-3,0.5878,-1.0000,0.5980,0.5878,1.1439
56.350,1-3,0.5894,-1.0000,0.5983,0.5894,1.1438
56.400,1-3,0.5899,-1.0000,0.5973,0.5899,1.1436
56.450,1-3,0.5891,-1.0000,0.5965,0.5891,1.1434
56.500,1-3,0.5885,-1.0000,0.5959,0.5885,1.1432
56.550,1-3,0.5879,-1.0000,0.5958,0.5879,1.1430
56.600,1-3,0.5873,-1.0000,0.5960,0.5873,1.1429
56.650,1-3,0.5868,-1.0000,0.5963,0.5868,1.1431
56.700,1-3,0.5865,-1.0000,0.5966,0.5865,1.1440
56.750,1-3,0.5858,-1.0000,0.5971,0.5858,1.1452
56.800,1-3,0.5834,-1.0000,0.5978,0.5834,1.1468
56.850,1-3,0.5805,-1.0000,0.5983,0.5805,1.1460
56.900,1-3,0.5781,-1.0000,0.5986,0.5781,1.1438
56.950,1-3,0.5759,-1.0000,0.5989,0.5759,1.1414
57.000,1-3,0.5743,-1.0000,0.5991,0.5743,1.1398
